annee,semaine,mois,date_debut,date_fin,type_racial,sexe,conformation,poids,marche,unite,prix,variation,source
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,BOUR,EUR/tête,150,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,CARE,EUR/tête,165,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,CHAB,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,CHAG,EUR/tête,180,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,LAMB,EUR/tête,197,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,LEZA,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,TALA,EUR/tête,130,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,MOYENNE NATIONALE,EUR/tête,167.75,9.7,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,45 a 50 kg,ARMO,EUR/tête,180,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,45 a 50 kg,BOUR,EUR/tête,100,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,45 a 50 kg,CARE,EUR/tête,115,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,45 a 50 kg,CHAB,EUR/tête,135,,COT-VRO-veaux14j_9_marches-A25-S04.csv
