annee,semaine,mois,date_debut,date_fin,marche,race,sexe,age_mois,classe,poids_kg,unite,prix,variation,source
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,U,400,EUR/kg vif,3.36,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Croises,Mâle,6/12,R,300,EUR/kg vif,3.05,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Croises,Mâle,6/12,R,350,EUR/kg vif,3.06,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Croises,Mâle,6/12,R,400,EUR/kg vif,3.09,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Croises,Femelle,6/12,R,320,EUR/kg vif,2.88,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Salers,Mâle,6/12,R,300,EUR/kg vif,2.83,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Salers,Mâle,6/12,R,350,EUR/kg vif,2.83,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Salers,Mâle,6/12,R,400,EUR/kg vif,2.83,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,R,300,EUR/kg vif,3.06,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,R,350,EUR/kg vif,3.11,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,R,400,EUR/kg vif,3.11,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,DIJON,Charolais,Mâle,6/12,U,,EUR/kg vif,3.57,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,DIJON,Charolais,Mâle,6/12,U,350,EUR/kg vif,3.45,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,DIJON,Charolais,Mâle,6/12,U,400,EUR/kg vif,3.4,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,DIJON,Charolais,Mâle,12/24,U,450,EUR/kg vif,3.34,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,DIJON,Charolais,Mâle,12/24,U,500,EUR/kg vif,3.29,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,DIJON,Charolais,Femelle,6/12,U,270,EUR/kg vif,3.25,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,DIJON,Charolais,Femelle,12/24,U,400,EUR/kg vif,3.16,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Limousins,Mâle,6/12,E,250,EUR/kg vif,3.85,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Limousins,Mâle,6/12,E,300,EUR/kg vif,3.75,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Limousins,Mâle,6/12,E,350,EUR/kg vif,3.65,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Limousins,Femelle,6/12,E,270,EUR/kg vif,3.3,,COT-VRO-GB_maigres-A23-S01.csv
