annee,semaine,mois,date_debut,date_fin,espece,etat_engraissement,conformation,zone,poids,unite,prix,variation,source
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.03,-0.06,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.06,0,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.06,-0.05,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Moyennes Regions,+ de 22 kg,EUR/kg carcasse,7.53,-0.03,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,4 (gras),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,7.78,-0.11,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,4 (gras),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,7.73,-0.11,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,4 (gras),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,7.31,-0.05,COT-VRO-ovins_synthese-A23-S03.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),U,Zone Nord,16 a 19 kg,EUR/kg carcasse,9.06,-0.11,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),U,Zone Nord,19 a 22 kg,EUR/kg carcasse,9.08,-0.07,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),U,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,9.06,-0.11,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),U,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,9.07,-0.08,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),R,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.32,-0.02,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),R,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.58,-0.07,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),R,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.58,-0.1,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.29,-0.09,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),R,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.3,-0.08,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.51,-0.06,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.52,-0.07,COT-VRO-ovins_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Agneaux,2 (ciré),O,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,7.6,0.03,COT-VRO-ovins_synthese-A23-S04.csv
